id,cohort,freq,level,mag,phase
WT-2,WT (mixed C57BL/6:FVB),6,70,42.8642210589572,-16.208160307513637
WT-2,WT (mixed C57BL/6:FVB),6,80,101.560990203856,-17.345413983551158
WT-2,WT (mixed C57BL/6:FVB),6.5,10,NA,NA
WT-2,WT (mixed C57BL/6:FVB),6.5,20,NA,NA
WT-2,WT (mixed C57BL/6:FVB),6.5,30,1.00879360143749,-17.451332510331483
WT-2,WT (mixed C57BL/6:FVB),6.5,40,4.3167262628578,-17.690201366004406
WT-2,WT (mixed C57BL/6:FVB),6.5,50,9.98218661877854,-17.702290258561067
WT-2,WT (mixed C57BL/6:FVB),6.5,60,22.0004034287692,-17.853307202329173
WT-2,WT (mixed C57BL/6:FVB),6.5,70,40.2092260141716,-18.496641985803382
WT-2,WT (mixed C57BL/6:FVB),6.5,80,79.5517802141813,-19.72325746647011
WT-2,WT (mixed C57BL/6:FVB),7,10,NA,NA
WT-2,WT (mixed C57BL/6:FVB),7,20,0.797622110562622,-19.29767729194971
WT-2,WT (mixed C57BL/6:FVB),7,30,1.95926507389941,-20.256515832120247
WT-2,WT (mixed C57BL/6:FVB),7,40,4.40757480012943,-20.465282726960204
WT-2,WT (mixed C57BL/6:FVB),7,50,9.121518890905,-20.356242250276868
WT-2,WT (mixed C57BL/6:FVB),7,60,18.674308912792,-20.267635985529044
WT-2,WT (mixed C57BL/6:FVB),7,70,33.2215024727341,-20.8031310034927
WT-2,WT (mixed C57BL/6:FVB),7,80,50.0284981619183,-22.14019198228543
WT-2,WT (mixed C57BL/6:FVB),7.5,10,NA,NA
WT-2,WT (mixed C57BL/6:FVB),7.5,20,1.2946253278891,-23.493843085418415
WT-2,WT (mixed C57BL/6:FVB),7.5,30,2.37917634872795,-22.61506596778418
WT-2,WT (mixed C57BL/6:FVB),7.5,40,4.51066799452543,-22.556306555153174
WT-2,WT (mixed C57BL/6:FVB),7.5,50,7.39722063296818,-22.06013470947852
WT-2,WT (mixed C57BL/6:FVB),7.5,60,14.2667891523115,-21.848490374068685
WT-2,WT (mixed C57BL/6:FVB),7.5,70,21.7321815793279,-22.330066756848673
WT-2,WT (mixed C57BL/6:FVB),7.5,80,30.0312461616048,-23.727554699344765
WT-2,WT (mixed C57BL/6:FVB),8,10,NA,NA
WT-2,WT (mixed C57BL/6:FVB),8,20,1.16073480555091,-26.6197384630093
WT-2,WT (mixed C57BL/6:FVB),8,30,2.30383729679222,-26.148152047280316
WT-2,WT (mixed C57BL/6:FVB),8,40,3.74845033618094,-25.605918030247636
WT-2,WT (mixed C57BL/6:FVB),8,50,6.00609423275568,-24.89531561158651
WT-2,WT (mixed C57BL/6:FVB),8,60,10.3906708960957,-24.381653085774342
WT-2,WT (mixed C57BL/6:FVB),8,70,16.0397006567086,-24.86130593774434
WT-2,WT (mixed C57BL/6:FVB),8,80,19.9203053717877,-26.18966365582165
WT-2,WT (mixed C57BL/6:FVB),8.5,10,NA,NA
WT-2,WT (mixed C57BL/6:FVB),8.5,20,1.33269511975066,-30.191795400621427
WT-2,WT (mixed C57BL/6:FVB),8.5,30,2.52445898322761,-29.835894406880257
WT-2,WT (mixed C57BL/6:FVB),8.5,40,3.04006468889549,-29.494749241924396
WT-2,WT (mixed C57BL/6:FVB),8.5,50,3.86739996442111,-27.931947098370575
WT-2,WT (mixed C57BL/6:FVB),8.5,60,6.25134438872854,-26.98370481602556
WT-2,WT (mixed C57BL/6:FVB),8.5,70,7.95138946604468,-27.462582161218624
WT-2,WT (mixed C57BL/6:FVB),8.5,80,8.44747832372803,-28.604772612776184
WT-2,WT (mixed C57BL/6:FVB),9,10,NA,NA
WT-2,WT (mixed C57BL/6:FVB),9,20,1.27040572914579,-33.92845191016328
WT-2,WT (mixed C57BL/6:FVB),9,30,2.20755053085077,-33.175464809207206
WT-2,WT (mixed C57BL/6:FVB),9,40,2.06846558478224,-32.521001877841435
WT-2,WT (mixed C57BL/6:FVB),9,50,2.24782110037866,-31.68249202709307
WT-2,WT (mixed C57BL/6:FVB),9,60,2.78628556412952,-29.456872445320947
